NAME,CREATOR,TYPE,CTIME,REMARKS,PACKED_DESC,VIEW_DESC,COLCOUNT,FID,TID,CARD,NPAGES,FPAGES,OVERFLOW,PARENTS,CHILDREN,SELFREFS,KEYCOLUMNS,KEYOBID,REL_DESC,BASE_NAME,BASE_SCHEMA,TBSPACE,INDEX_TBSPACE,LONG_TBSPACE,KEYUNIQUE,CHECKCOUNT,CHECK_DESC,STATS_TIME,DEFINER,TRIG_DESC,DATA_CAPTURE,STATUS,CONST_CHECKED,PMAP_ID,ENCODING_SCHEME,PCTFREE,ROWTYPESCHEMA,ROWTYPENAME,APPEND_MODE,PARTITION_MODE,REFRESH,REFRESH_TIME,LOCKSIZE,VOLATILE,REMOTE_DESC,CLUSTERED,AST_DESC,DROPRULE,LOGINDEXBUILD,PROPERTY,STATISTICS_PROFILE,COMPRESSION,ACCESS_MODE,ACTIVE_BLOCKS,MAXFREESPACESEARCH,AVGCOMPRESSEDROWSIZE,AVGROWCOMPRESSIONRATIO,AVGROWSIZE,PCTROWSCOMPRESSED,CODEPAGE,PCTPAGESSAVED,LAST_REGEN_TIME,SECPOLICYID,PROTECTIONGRANULARITY,INVALIDATE_TIME,DEFINERTYPE,ALTER_TIME,AUDITPOLICYID,COLLATIONID,COLLATIONID_ORDERBY,ONCOMMIT,ONROLLBACK,LOGGED,LASTUSED,CONTROL,CONTROLS_DESC,ROWCOMPMODE,AUDITEXCEPTION_DESC,AUDITEXCEPTIONENABLED,MPAGES,EXTENDED_ROW_SIZE,PCTEXTENDEDROWS
SYSTABLES,SYSIBM  ,T,2020-07-29 17:29:34.774381,,c0e20000050000003e180000000000003a010000000000002d020000000000001400000000000000000000000000000000000002ff00ffff00000002ff00ffff000000000000000053000000000000000000000000000000000000000000000000000000000080bf00000000feffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000530000000000000000000000000000000000000000000000000000000000000018400000d8630000000000000000000000000000000000000000000000000000d8dc000000000000e86300000014080000000a00e70300000000feffb8040000000000000000000000000000fe0100000000000000000000000000008400004e5330204e20524e2000002020202003524e4e534e3000000000000000000000000000202007291729347743812020072917293477438120230426172839332714202007291729347743812022081522131298002200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,83,5,0,6206,314,557,20,0,0,0,0,0,,,,SYSCATSPACE,,,0,0,,2023-04-26 17:28:39.332714,SYSIBM  ,,N,N,YYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,0, ,"'-1",,,N, , ,,R, ,,,,�, ,                                ,,N,F,0,999,0,0.0,510,0.0,1208,0,2020-07-29 17:29:34.774381,0, ,2022-08-15 22:13:12.980022,S,2020-07-29 17:29:34.774381,,0x00000002ff00ffff,0x00000002ff00ffff, , , ,2023-04-27,R,c81000000300000003000000000000000000000000000000200500009100000000000002ff00ffff00000002ff00ffff00000000000000001805000005000000e804000000000000080025000600080009000000000008002900080008000800090008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d20200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005359535f44454641554c545f524f575f5045524d495353494f4e5f5f5359535441424c45530000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d0000000000000000000000000000, ,,N,0,N,"'-1.0"
SYSCOLUMNS,SYSIBM  ,T,2020-07-29 17:29:34.774381,,b8820000060000000f3e0100000000001705000000000000840f000000000000f802000000000000000000000000000000000002ff00ffff00000002ff00ffff00000000000000002d000000000000000000000000000000000000000000000000000000000080bf00000000feffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002d000000000000000000000000000000000000000000000000000000000000009825000058300000000000000000000000000000000000000000000000000000587f000000000000683000000014080000000300e70300000000feffb8040000000000000000000000000000f60000000000000000000000000000008800004e5330204e20524e2000002020202002524e4e534e3000000000000000000000000000202007291729347743812020072917293477438120230423215847384754202007291729347743812022081522131124095400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,45,6,0,81423,1303,3972,760,0,0,0,0,0,,,,SYSCATSPACE,,,0,0,,2023-04-23 21:58:47.384754,SYSIBM  ,,N,N,YYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,0, ,"'-1",,,N, , ,,R, ,,,,�, ,                                ,,N,F,0,999,0,0.0,246,0.0,1208,0,2020-07-29 17:29:34.774381,0, ,2022-08-15 22:13:11.240954,S,2020-07-29 17:29:34.774381,,0x00000002ff00ffff,0x00000002ff00ffff, , , ,2023-04-27,R,101100000300000003000000000000000000000000000000200500001d00000000000002ff00ffff00000002ff00ffff00000000000000001805000005000000e80400000000000008002600060008000a000000000008002900080008000800090008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d20200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005359535f44454641554c545f524f575f5045524d495353494f4e5f5f535953434f4c554d4e5300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d0000000000000000000000000000, ,,N,0,N,"'-1.0"
SYSINDEXES,SYSIBM  ,T,2020-07-29 17:29:34.774381,,e8d30000070000006d0d00000000000072000000000000000c010000000000001b00000000000000000000000000000000000002ff00ffff00000002ff00ffff000000000000000047000000000000000000000000000000000000000000000000000000000080bf00000000feffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004700000000000000000000000000000000000000000000000000000000000000c038000048470000000000000000000000000000000000000000000000000000e8ce000000000000584700000014080000000400e70300000000feffb8040000000000000000000000000000930100000000000000000000000000008c00004e5330204e20524e2000002020202003524e4e534e3000000000000000000000000000202007291729347743812020072917293477438120230425031338798429202007291729347743812022081522131178796500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,71,7,0,3437,114,268,27,0,0,0,0,0,,,,SYSCATSPACE,,,0,0,,2023-04-25 03:13:38.798429,SYSIBM  ,,N,N,YYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,0, ,"'-1",,,N, , ,,R, ,,,,�, ,                                ,,N,F,0,999,0,0.0,403,0.0,1208,0,2020-07-29 17:29:34.774381,0, ,2022-08-15 22:13:11.787965,S,2020-07-29 17:29:34.774381,,0x00000002ff00ffff,0x00000002ff00ffff, , , ,2023-04-27,R,d80f00000300000003000000000000000000000000000000200500004100000000000002ff00ffff00000002ff00ffff00000000000000001805000005000000e80400000000000008002600060008000a000000000008002900080008000800090008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d20200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005359535f44454641554c545f524f575f5045524d495353494f4e5f5f535953494e444558455300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d0000000000000000000000000000, ,,N,0,N,"'-1.0"
SYSVIEWS,SYSIBM  ,T,2020-07-29 17:29:34.774381,,282500000b0000004202000000000000090000000000000009000000000000000000000000000000000000000000000000000002ff00ffff00000002ff00ffff00000000000000000c000000000000000000000000000000000000000000000000000000000080bf00000000feffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000380d0000c81000000000000000000000000000000000000000000000000000000024000000000000d81000000014080000000100e70300000000feffb8040000000000000000000000000000c50000000000000000000000000000000100004e5330204e20524e2000002020202004524e4e534e3000000000000000000000000000202007291729347743812020072917293477438120230422140837715267202007291729347743812022081522131340345100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,12,11,0,578,9,9,0,0,0,0,0,0,,,,SYSCATSPACE,,,0,0,,2023-04-22 14:08:37.715267,SYSIBM  ,,N,N,YYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,0, ,"'-1",,,N, , ,,R, ,,,,�, ,                                ,,N,F,0,999,0,0.0,197,0.0,1208,0,2020-07-29 17:29:34.774381,0, ,2022-08-15 22:13:13.403451,S,2020-07-29 17:29:34.774381,,0x00000002ff00ffff,0x00000002ff00ffff, , , ,2023-04-26,R,d80f0000030000000300000000000000000000000000000020050000a900000000000002ff00ffff00000002ff00ffff00000000000000001805000005000000e804000000000000080024000600080008000000000008002900080008000800090008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d20200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005359535f44454641554c545f524f575f5045524d495353494f4e5f5f5359535649455753000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d0000000000000000000000000000, ,,N,0,N,"'-1.0"
SYSVIEWDEP,SYSIBM  ,T,2020-07-29 17:29:34.774381,,683300000c00000046040000000000000b000000000000000b000000000000000000000000000000000000000000000000000002ff00ffff00000002ff00ffff00000000000000000b000000000000000000000000000000000000000000000000000000000080bf00000000feffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b00000000000000000000000000000000000000000000000000000000000000d80c0000201800000000000000000000000000000000000000000000000000002032000000000000301800000014080000000300e70300000000feffb80400000000000000000000000000005e0000000000000000000000000000000100004e5330204e20524e2000002020202002524e4e534e3000000000000000000000000000202007291729347743812020072917293477438120230401014349700431202007291729347743812022081522131336537600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,11,12,0,1094,11,11,0,0,0,0,0,0,,,,SYSCATSPACE,,,0,0,,2023-04-01 01:43:49.700431,SYSIBM  ,,N,N,YYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,0, ,"'-1",,,N, , ,,R, ,,,,�, ,                                ,,N,F,0,999,0,0.0,94,0.0,1208,0,2020-07-29 17:29:34.774381,0, ,2022-08-15 22:13:13.365376,S,2020-07-29 17:29:34.774381,,0x00000002ff00ffff,0x00000002ff00ffff, , , ,2023-04-27,R,40110000030000000300000000000000000000000000000020050000a700000000000002ff00ffff00000002ff00ffff00000000000000001805000005000000e80400000000000008002600060008000a000000000008002900080008000800090008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d20200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005359535f44454641554c545f524f575f5045524d495353494f4e5f5f5359535649455744455000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d0000000000000000000000000000, ,,N,0,N,"'-1.0"
SYSPLAN,SYSIBM  ,T,2020-07-29 17:29:34.774381,,c09200000d0000002a060000000000002a000000000000002c000000000000000000000000000000000000000000000000000002ff00ffff00000002ff00ffff000000000000000045000000000000000000000000000000000000000000000000000000000080bf00000000feffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004500000000000000000000000000000000000000000000000000000000000000a0360000f8440000000000000000000000000000000000000000000000000000f08d000000000000084500000014080000000400e70300000000feffb80400000000000000000000000000000a0200000000000000000000000000000100004e5330204e20524e2000002020202002524e4e534e3000000000000000000000000000202007291729347743812020072917293477438120230425174347111370202007291729347743812022081522131238214500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,69,13,0,1578,42,44,0,0,0,0,0,0,,,,SYSCATSPACE,,,0,0,,2023-04-25 17:43:47.11137,SYSIBM  ,,N,N,YYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,0, ,"'-1",,,N, , ,,R, ,,,,�, ,                                ,,N,F,0,999,0,0.0,522,0.0,1208,0,2020-07-29 17:29:34.774381,0, ,2022-08-15 22:13:12.382145,S,2020-07-29 17:29:34.774381,,0x00000002ff00ffff,0x00000002ff00ffff, , , ,2023-04-27,R,d80f00000300000003000000000000000000000000000000200500006b00000000000002ff00ffff00000002ff00ffff00000000000000001805000005000000e804000000000000080023000600080007000000000008002900080008000800090008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d20200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005359535f44454641554c545f524f575f5045524d495353494f4e5f5f535953504c414e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d0000000000000000000000000000, ,,N,0,N,"'-1.0"
SYSPLANDEP,SYSIBM  ,T,2020-07-29 17:29:34.774381,,403c00000e000000461d00000000000035000000000000004c000000000000000000000000000000000000000000000000000002ff00ffff00000002ff00ffff00000000000000000c000000000000000000000000000000000000000000000000000000000080bf00000000feffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c00000000000000000000000000000000000000000000000000000000000000800d0000f0180000000000000000000000000000000000000000000000000000f03a000000000000001900000014080000000300e70300000000feffb80400000000000000000000000000006f0000000000000000000000000000000100004e5330204e20524e2000002020202002524e4e534e3000000000000000000000000000202007291729347743812020072917293477438120230411032347206592202007291729347743812022081522131243527600000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,12,14,0,7494,53,76,0,0,0,0,0,0,,,,SYSCATSPACE,,,0,0,,2023-04-11 03:23:47.206592,SYSIBM  ,,N,N,YYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,0, ,"'-1",,,N, , ,,R, ,,,,�, ,                                ,,N,F,0,999,0,0.0,111,0.0,1208,0,2020-07-29 17:29:34.774381,0, ,2022-08-15 22:13:12.435276,S,2020-07-29 17:29:34.774381,,0x00000002ff00ffff,0x00000002ff00ffff, , , ,2023-04-27,R,b81000000300000003000000000000000000000000000000200500006f00000000000002ff00ffff00000002ff00ffff00000000000000001805000005000000e80400000000000008002600060008000a000000000008002900080008000800090008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d20200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005359535f44454641554c545f524f575f5045524d495353494f4e5f5f535953504c414e44455000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d0000000000000000000000000000, ,,N,0,N,"'-1.0"
SYSSECTION,SYSIBM  ,T,2020-07-29 17:29:34.774381,,181e00000f000000372d0000000000003d000000000000003d000000000000000000000000000000000000000000000000000002ff00ffff00000002ff00ffff000000000000000007000000000000000000000000000000000000000000000000000000000080bf00000000feffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070000000000000000000000000000000000000000000000000000000000000070090000300d0000000000000000000000000000000000000000000000000000401d000000000000400d00000014080000000100e70300000000feffb8040000000000000000000000000000750000000000000000000000000000000100004e5330204e20524e2000002020202002524e4e534e3000000000000000000000000000202007291729347743812020072917293477438120230404023848420703202007291729347743812022081522131276689100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,7,15,0,11575,61,61,0,0,0,0,0,0,,,,SYSCATSPACE,,,0,0,,2023-04-04 02:38:48.420703,SYSIBM  ,,N,N,YYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,0, ,"'-1",,,N, , ,,R, ,,,,�, ,                                ,,N,F,0,999,0,0.0,117,0.0,1208,0,2020-07-29 17:29:34.774381,0, ,2022-08-15 22:13:12.766891,S,2020-07-29 17:29:34.774381,,0x00000002ff00ffff,0x00000002ff00ffff, , , ,2023-04-26,R,c01000000300000003000000000000000000000000000000200500008500000000000002ff00ffff00000002ff00ffff00000000000000001805000005000000e80400000000000008002600060008000a000000000008002900080008000800090008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d20200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005359535f44454641554c545f524f575f5045524d495353494f4e5f5f53595353454354494f4e00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d0000000000000000000000000000, ,,N,0,N,"'-1.0"
SYSSTMT,SYSIBM  ,T,2020-07-29 17:29:34.774381,,b820000010000000582d000000000000440000000000000048000000000000000000000000000000000000000000000000000002ff00ffff00000002ff00ffff000000000000000007000000000000000000000000000000000000000000000000000000000080bf00000000feffffff00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000070000000000000000000000000000000000000000000000000000000000000070090000300d0000000000000000000000000000000000000000000000000000e01f000000000000400d00000014080000000100e70300000000feffb80400000000000000000000000000008f0000000000000000000000000000000100004e5330204e20524e2000002020202002524e4e534e3000000000000000000000000000202007291729347743812020072917293477438120230412062936343792202007291729347743812022081522131284705500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,7,16,0,11608,68,72,0,0,0,0,0,0,,,,SYSCATSPACE,,,0,0,,2023-04-12 06:29:36.343792,SYSIBM  ,,N,N,YYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,0, ,"'-1",,,N, , ,,R, ,,,,�, ,                                ,,N,F,0,999,0,0.0,143,0.0,1208,0,2020-07-29 17:29:34.774381,0, ,2022-08-15 22:13:12.847055,S,2020-07-29 17:29:34.774381,,0x00000002ff00ffff,0x00000002ff00ffff, , , ,2023-04-26,R,c01000000300000003000000000000000000000000000000200500008b00000000000002ff00ffff00000002ff00ffff00000000000000001805000005000000e804000000000000080023000600080007000000000008002900080008000800090008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d20200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005359535f44454641554c545f524f575f5045524d495353494f4e5f5f53595353544d5400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d0000000000000000000000000000, ,,N,0,N,"'-1.0"
SYSDBAUTH,SYSIBM  ,T,2020-07-29 17:29:34.774381,,28350000110000008932000000000000340000000000000034000000000000000000000000000000000000000000000000000002ff00ffff00000002ff00ffff00000000000000001b000000000000000000000000000000000000000000000000000000000080bf00000000feffffff000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001b0000000000000000000000000000000000000000000000000000000000000040170000b8250000000000000000000000000000000000000000000000000000d032000000000000c82500000014080000000400e70300000000feffb8040000000000000000000000000000430000000000000000000000000000000100004e5330204e20524e2000002020202002524e4e534e3000000000000000000000000000202007291729347743812020072917293477438120230422062346984159202007291729347743812022081522131383090400000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,,27,17,0,12937,52,52,0,0,0,0,0,0,,,,SYSCATSPACE,,,0,0,,2023-04-22 06:23:46.984159,SYSIBM  ,,N,N,YYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY,0, ,"'-1",,,N, , ,,R, ,,,,�, ,                                ,,N,F,0,999,0,0.0,67,0.0,1208,0,2020-07-29 17:29:34.774381,0, ,2022-08-15 22:13:13.830904,S,2020-07-29 17:29:34.774381,,0x00000002ff00ffff,0x00000002ff00ffff, , , ,2023-04-27,R,f80f0000030000000300000000000000000000000000000020050000c500000000000002ff00ffff00000002ff00ffff00000000000000001805000005000000e804000000000000080025000600080009000000000008002900080008000800090008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d20200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005359535f44454641554c545f524f575f5045524d495353494f4e5f5f5359534442415554480000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000053595349424d0000000000000000000000000000, ,,N,0,N,"'-1.0"
